	2	-0.812
#ConeCrewPedePazNoBrasil	4400	0.270669185606
#ConfessionNight	1610	0.141917805383
#CongratsJustinFromDirectioners	265	0.20446490566
#CoralKemuel	436	0.223342278287
#CracolandiaRJ	378	0.0749649470899
#CulpaDosFãsDoRBD	833	-0.0126758303321
#DNAfollow	2	0.1485
#DNAouttoday	10	0.228666666667
#DannNascimentoAvisa	2018	0.375827015197
#DançaGangnamStyleSilvioSantos	1905	0.271705293088
#DemiYoungAdults	104	0.25511025641
#DiaDaFavela	142	0.34992370892
#DiaDoOrkut	1136	0.199667297535
#DiamondsTourBrazil	376	0.171431205674
#DiamondsVEVOChallenge	1806	0.181431727575
#DiegoeJuniorSantarenaLondrinaHj	1295	0.370306435006
#DinnerWithAriana	205	0.26374796748
#District3LateNightFollow	1	0.197
#DizQueÉFãDeFresnoMas	3358	0.234451459202
#DulceMariaNoPodemosEsperar6AñosMás	708	0.200715183616
#E3FollowSpree	611	0.228614293508
#E3ThanksYou	97	0.226056701031
#EMAAOVIVO	295	0.264956214689
#EMAVoteOneDirection	113	0.27812979351
#EMAWINRestart	424	0.232054795597
#EMAWinGaga	1787	0.235721553815
#EMAWinKaty	56	0.195159226191
#EMAWinNicki	11	0.0909848484849
#EMAWinOneDirection	9652	0.268792448888
#EMAWinRestart	2180	0.220763356269
#EMAWinRihanna	4	0.01175
#EMAWinTaylor	308	0.169279924242
#ENEM2012cancelado	4429	0.0257897681945
#Em2013	1621	0.214948948327
#EmmaWatsonIsOurPrincess	46	0.297670289855
#Encontro	1151	0.244347437011
#EssaHoraEmAvenidaBrasil	1122	0.284305109923
#EstamosContigoPalmeiras	1509	0.0617876297769
#EternamenteAmareiValentinaF	29	0.249212643678
#Eterno7x1	36	0.180023148148
#EuAmoQuem	456	0.227373172515
#EuGostariaDe	81	0.192722222222
#EuHoje	39	0.328397435897
#EuPodiaEstarFazendoEnemMas	390	0.358367094017
#EuQueroF292NoPlanetaAtlantida	357	0.265471521942
#EuTiroOndaPorque	551	0.2369038415
#EufacopartedaFamiliaBDV	49	0.24369047619
#EvaNaConcha	234	0.268046367521
#FABULOSO	110	0.040793939394
#FAMILIALUANSANTANA	861	0.349317034456
#FSB2012	913	0.221891566265
#FacçãoRBDemAção	370	-0.0400657271557
#FallOutBoyinRockInRio2013	152	0.253171052632
#Faltam6DiasParaOTeleton	75	0.294577777778
#FamiliaCalypsoApoiaTeleton	449	0.290102227171
#FamiliaCarrosselAnsiosaParaOTeleton	518	0.20235006435
#FamiliaCarrosselConvocaOBrasilDoeProTeleton	238	0.372812044818
#FamiliaLRDSnaFebreMania	2398	0.184051070336
#FamiliaRdbTudoPutaEViado	156	0.137788461538
#FazendaDeVerão	1051	0.227330304472
#FazendadeVerão	76	0.200804824561
#FeSnoCaldasCountry	213	0.175954616588
#FelizAniversárioThalles	600	0.255120888889
#FelizAniversárioWilliamBonner	1056	0.295005287247
#FelizLibertadoresNova	270	0.122550617284
#FerianResponde	251	0.242321381142
#FestaHawaiEZTC	38	0.133353070175
#FicaGabi	23	0.243731884058
#FifthHarmonyFollow	12	0.231083333333
#FimDoMundoCancelado	40	0.299466666667
#FiukNoTeleton	256	0.269164871652
#Flamengo117anos	1122	0.262949685935
#ForaDagmar	220	0.259124621212
#ForaDagmarketing	450	0.151401148148
#ForaRosalba	1442	0.18945615217
#FresnoNoRatinho	522	0.195992496807
#FunkeirosComandamOTwitterNaMadrugada	4	-0.02675
#FãDeVerdadeAmaNãoAgride	1248	0.244832919338
#GIRLFREND	8	0.01375
#GIRLSGENERATIONCOMETOBRAZIL	1788	0.124338637211
#GaDriel4ever	11591	0.220227025278
#GabeChat	704	0.0639831912879
#GabiLopesChat	7	0.0988571428571
#GagaDonateForTeleton	6	0.142
#GagaThanksForComingToBrazil	8982	0.247239864915
#GavassierChat	515	0.200801618123
#GentiliNoTeleton	90	0.22052037037
#GeraçãoRBDcontraOPreconceito	764	0.0764914485166
#GlamourRob	5	0.3566
#Glee	99	0.117331649832
#GloriaeLucasNoAcessoMTV	104	0.222146474359
#GoodLuckTheWanted	52	0.201705128205
#GotMeGoodTo4M	124	0.238942204301
#GusttavoLimaAmorPorTodaVida	813	0.24978300533
#GyuSoloInvasion	21	0.163726190476
#HP1noSBT	958	0.106104883686
#HP4naTNT	203	0.129321428571
#HabitameSiempre	114	0.176538011696
#HadToRepeatThat	2	0.282333333333
#HappyBDayDaniCalabresa	792	0.251040298822
